,Longitude,Latitude
262,38.241,38.002
263,37.755,38.127
264,36.609,38.082
265,36.473,38.081
266,36.262,34.09
267,36.059,36.257
268,37.501,37.739
269,37.476,38.092
270,37.882,37.868
271,36.489,38.092
272,38.171,38.075
273,36.825,37.25
274,36.45,38.027
275,35.904,36.193
276,37.362,38.188
277,36.432,37.948
278,37.84,38.156
279,39.515,38.87
280,36.669,37.736
281,42.831,38.006
282,36.881,37.355
283,36.889,38.104
284,36.289,37.86
285,38.701,38.203
286,36.633,37.814
287,38.347,38.072
288,38.172,37.985
289,36.833,38.085
290,38.183,38.256
291,36.507,36.839
292,36.609,38.023
293,38.006,38.186
294,38.58,38.192
295,37.169,37.419
296,36.633,38.011
297,37.64,37.979
298,37.809,38.069
299,36.873,37.456
300,36.407,37.981
301,36.424,36.639
302,37.865,38.135
303,36.56,37.811
304,37.654,37.962
305,37.613,38.005
306,36.62,38.086
307,36.576,38.051
308,36.982,38.061
309,36.607,37.852
310,36.519,36.815
311,38.219,38.103
312,36.393,36.546
313,37.207,38.089
314,36.677,38.159
315,36.24,36.514
316,37.578,38.002
317,37.709,38.088
318,36.454,38.038
319,37.169,37.522
320,37.205,37.417
321,37.144,37.256
322,36.474,38.066
323,37.946,37.935
324,37.274,37.577
325,37.454,37.988
326,37.469,38.026
327,36.354,37.966
328,36.568,38.043
329,36.634,38.085
330,36.872,37.393
331,37.601,38.008
332,37.619,37.981
333,36.579,37.844
334,36.694,37.108
335,37.203,37.603
336,36.859,37.256
337,36.348,37.933
338,36.043,36.171
339,37.491,38.386
340,35.954,36.134
341,37.407,38.828
342,37.856,37.833
343,36.074,36.146
344,41.021,38.973
345,36.912,37.141
346,38.404,38.126
347,37.766,38.108
348,35.956,36.204
349,37.105,37.335
350,37.576,37.934
351,36.262,38.122
352,36.632,38.084
353,36.501,38.091
354,36.052,36.267
355,40.339,38.528
356,36.647,37.842
357,36.252,37.385
358,38.608,38.195
359,43.858,41.304
360,38.486,38.125
361,37.283,38.228
362,35.953,36.351
363,38.268,38.281
364,36.123,36.123
365,36.801,37.203
366,38.595,38.206
367,36.557,38.07
368,36.638,38.069
369,37.309,37.527
370,36.556,38.004
371,36.657,37.136
372,37.471,38.018
373,38.327,38.113
374,37.541,38.023
375,36.609,37.835
376,37.198,37.527
377,38.49,38.159
378,36.368,37.967
379,37.444,37.976
380,36.051,36.091
381,37.965,37.941
382,38.43,38.085
383,37.135,38.036
384,37.726,37.951
385,36.538,37.935
386,36.653,37.167
387,38.457,38.094
388,36.64,37.833
389,37.527,38.588
390,36.621,37.975
391,37.735,37.733
392,37.768,38.076
393,38.635,38.274
394,37.541,37.984
395,38.216,38.24
